date: 2006-03-06 00:00:00, ticker: DBC, bought: LONG, sold: OUT, MACD_val: 0.12038165762398817
date: 2006-03-07 00:00:00, ticker: DBC, bought: LONG, sold: OUT, MACD_val: 0.10163571400628724
date: 2006-03-08 00:00:00, ticker: DBC, bought: LONG, sold: OUT, MACD_val: 0.053851855894730516
date: 2006-03-09 00:00:00, ticker: DBC, bought: LONG, sold: OUT, MACD_val: 0.027902074732599758
date: 2006-03-10 00:00:00, ticker: DBC, bought: LONG, sold: OUT, MACD_val: 0.004808815734516303
date: 2006-03-13 00:00:00, ticker: DBC, bought: LONG, sold: OUT, MACD_val: 2.194245359082858e-05
date: 2006-03-14 00:00:00, ticker: DBC, bought: LONG, sold: OUT, MACD_val: 0.017808928877958735
date: 2006-03-15 00:00:00, ticker: DBC, bought: LONG, sold: OUT, MACD_val: 0.03351665683607166
date: 2006-03-16 00:00:00, ticker: DBC, bought: LONG, sold: OUT, MACD_val: 0.01905099194010028
date: 2006-03-17 00:00:00, ticker: DBC, bought: LONG, sold: OUT, MACD_val: 0.03996354097572161
date: 2006-03-20 00:00:00, ticker: DBC, bought: LONG, sold: OUT, MACD_val: 0.03716987911517641
date: 2006-03-21 00:00:00, ticker: DBC, bought: OUT, sold: SHORT, MACD_val: -0.011173593996764456
date: 2006-03-22 00:00:00, ticker: DBC, bought: OUT, sold: SHORT, MACD_val: -0.03171337921559968
date: 2006-03-23 00:00:00, ticker: DBC, bought: OUT, sold: SHORT, MACD_val: -0.04147823160706578
date: 2006-03-24 00:00:00, ticker: DBC, bought: OUT, sold: SHORT, MACD_val: -0.039785565273361384
date: 2006-03-27 00:00:00, ticker: DBC, bought: OUT, sold: SHORT, MACD_val: -0.011702090925748462
date: 2006-03-28 00:00:00, ticker: DBC, bought: LONG, sold: OUT, MACD_val: 0.026628441388096752
date: 2006-03-29 00:00:00, ticker: DBC, bought: LONG, sold: OUT, MACD_val: 0.04294107176277698
date: 2006-03-30 00:00:00, ticker: DBC, bought: LONG, sold: OUT, MACD_val: 0.05748252761059949
date: 2006-03-31 00:00:00, ticker: DBC, bought: LONG, sold: OUT, MACD_val: 0.08986995866428182
date: 2006-04-03 00:00:00, ticker: DBC, bought: LONG, sold: OUT, MACD_val: 0.11257136736563592
date: 2006-04-04 00:00:00, ticker: DBC, bought: LONG, sold: OUT, MACD_val: 0.09969215008749435
date: 2006-04-05 00:00:00, ticker: DBC, bought: LONG, sold: OUT, MACD_val: 0.10080177624519382
date: 2006-04-06 00:00:00, ticker: DBC, bought: LONG, sold: OUT, MACD_val: 0.11403933156156469
date: 2006-04-07 00:00:00, ticker: DBC, bought: LONG, sold: OUT, MACD_val: 0.12940676733695644
date: 2006-04-10 00:00:00, ticker: DBC, bought: LONG, sold: OUT, MACD_val: 0.14327896048707772
date: 2006-04-11 00:00:00, ticker: DBC, bought: LONG, sold: OUT, MACD_val: 0.1380481125299926
date: 2006-04-12 00:00:00, ticker: DBC, bought: LONG, sold: OUT, MACD_val: 0.12160306869007975
date: 2006-04-13 00:00:00, ticker: DBC, bought: LONG, sold: OUT, MACD_val: 0.10520300346211253
date: 2006-04-17 00:00:00, ticker: DBC, bought: LONG, sold: OUT, MACD_val: 0.10902037397563497
date: 2006-04-18 00:00:00, ticker: DBC, bought: LONG, sold: OUT, MACD_val: 0.12049058077213448
date: 2006-04-19 00:00:00, ticker: DBC, bought: LONG, sold: OUT, MACD_val: 0.14498971680737577
date: 2006-04-20 00:00:00, ticker: DBC, bought: LONG, sold: OUT, MACD_val: 0.16640470243839084
