date: 2006-03-09 00:00:00, ticker: DBC, bought: LONG, sold: OUT, macd: -0.22354633815769276, exp3: -0.2514484128902925
date: 2006-03-10 00:00:00, ticker: DBC, bought: LONG, sold: OUT, macd: -0.2454373932221472, exp3: -0.2502462089566635
date: 2006-03-13 00:00:00, ticker: DBC, bought: LONG, sold: OUT, macd: -0.250218780889675, exp3: -0.2502407233432658
date: 2006-03-14 00:00:00, ticker: DBC, bought: LONG, sold: OUT, macd: -0.2279795622458174, exp3: -0.24578849112377613
date: 2006-03-15 00:00:00, ticker: DBC, bought: LONG, sold: OUT, macd: -0.12052805251539667, exp3: -0.15404470935146833
date: 2006-03-16 00:00:00, ticker: DBC, bought: LONG, sold: OUT, macd: -0.03686268679848226, exp3: -0.05591367873858254
date: 2006-03-17 00:00:00, ticker: DBC, bought: LONG, sold: OUT, macd: -0.017630248096057954, exp3: -0.05759378907177957
date: 2006-03-20 00:00:00, ticker: DBC, bought: LONG, sold: OUT, macd: -0.026137096780072255, exp3: -0.06330697589524867
date: 2006-03-21 00:00:00, ticker: DBC, bought: OUT, sold: SHORT, macd: -0.00057867287814517, exp3: 0.010594921118619286
date: 2006-03-22 00:00:00, ticker: DBC, bought: OUT, sold: SHORT, macd: 0.03597781504580766, exp3: 0.06769119426140734
date: 2006-03-23 00:00:00, ticker: DBC, bought: OUT, sold: SHORT, macd: 0.03251607385661259, exp3: 0.07399430546367837
date: 2006-03-24 00:00:00, ticker: DBC, bought: OUT, sold: SHORT, macd: 0.08595230579355118, exp3: 0.12573787106691256
date: 2006-03-27 00:00:00, ticker: DBC, bought: OUT, sold: SHORT, macd: 0.04608595747381017, exp3: 0.05778804839955863
date: 2006-03-28 00:00:00, ticker: DBC, bought: LONG, sold: OUT, macd: -0.013965996081104493, exp3: -0.040594437469201244
date: 2006-03-29 00:00:00, ticker: DBC, bought: LONG, sold: OUT, macd: 0.046427876463901896, exp3: 0.0034868047011249164
date: 2006-03-30 00:00:00, ticker: DBC, bought: LONG, sold: OUT, macd: 0.12535860754803707, exp3: 0.06787607993743758
date: 2006-03-31 00:00:00, ticker: DBC, bought: LONG, sold: OUT, macd: 0.12185823237133064, exp3: 0.03198827370704883
date: 2006-04-03 00:00:00, ticker: DBC, bought: LONG, sold: OUT, macd: 0.17270248291409374, exp3: 0.06013111554845781
date: 2006-04-04 00:00:00, ticker: DBC, bought: LONG, sold: OUT, macd: 0.2097559428354394, exp3: 0.11006379274794506
date: 2006-04-05 00:00:00, ticker: DBC, bought: LONG, sold: OUT, macd: 0.19771804728713605, exp3: 0.09691627104194223
date: 2006-04-06 00:00:00, ticker: DBC, bought: LONG, sold: OUT, macd: 0.2261271094041959, exp3: 0.1120877778426312
date: 2006-04-07 00:00:00, ticker: DBC, bought: LONG, sold: OUT, macd: 0.20548727605279993, exp3: 0.07608050871584347
date: 2006-04-10 00:00:00, ticker: DBC, bought: LONG, sold: OUT, macd: 0.25851387034979467, exp3: 0.11523490986271695
date: 2006-04-11 00:00:00, ticker: DBC, bought: LONG, sold: OUT, macd: 0.36282333353648255, exp3: 0.22477522100648994
date: 2006-04-12 00:00:00, ticker: DBC, bought: LONG, sold: OUT, macd: 0.4634780174467181, exp3: 0.3418749487566384
date: 2006-04-13 00:00:00, ticker: DBC, bought: LONG, sold: OUT, macd: 0.46170770750714496, exp3: 0.35650470404503243
date: 2006-04-17 00:00:00, ticker: DBC, bought: LONG, sold: OUT, macd: 0.5127878196545055, exp3: 0.4037674456788705
date: 2006-04-18 00:00:00, ticker: DBC, bought: LONG, sold: OUT, macd: 0.5343730235041022, exp3: 0.4138824427319677
date: 2006-04-19 00:00:00, ticker: DBC, bought: LONG, sold: OUT, macd: 0.5467682759200869, exp3: 0.40177855911271115
date: 2006-04-20 00:00:00, ticker: DBC, bought: LONG, sold: OUT, macd: 0.5547638022893686, exp3: 0.3883590998509778
date: 2006-04-21 00:00:00, ticker: DBC, bought: LONG, sold: OUT, macd: 0.601066859103291, exp3: 0.4629126343167073
date: 2006-04-24 00:00:00, ticker: DBC, bought: LONG, sold: OUT, macd: 0.6021220120813169, exp3: 0.4587425272543603
date: 2006-04-25 00:00:00, ticker: DBC, bought: LONG, sold: OUT, macd: 0.638444959750327, exp3: 0.528028860778869
